# x	f(x)	S_N(x)
-0.898495	0.110763	0.070331
-0.892212	0.110833	0.070174
-0.885929	0.110896	0.070014
-0.879646	0.110951	0.069851
-0.873363	0.110999	0.069686
-0.867080	0.111038	0.069517
-0.860796	0.111069	0.069345
-0.854513	0.111091	0.069169
-0.848230	0.111105	0.068991
-0.841947	0.111111	0.068809
-0.835664	0.111108	0.068623
-0.829380	0.111096	0.068435
-0.823097	0.111075	0.068242
-0.816814	0.111044	0.068046
-0.810531	0.111005	0.067847
-0.804248	0.110955	0.067644
-0.797965	0.110896	0.067436
-0.791681	0.110828	0.067225
-0.785398	0.110749	0.067010
-0.779115	0.110660	0.066791
-0.772832	0.110560	0.066568
-0.766549	0.110451	0.066341
-0.760265	0.110330	0.066109
-0.753982	0.110198	0.065873
-0.747699	0.110056	0.065632
-0.741416	0.109902	0.065387
-0.735133	0.109736	0.065137
-0.728849	0.109559	0.064883
-0.722566	0.109370	0.064624
-0.716283	0.109169	0.064359
-0.710000	0.108955	0.064090
-0.703717	0.108729	0.063816
-0.697434	0.108490	0.063536
-0.691150	0.108238	0.063251
-0.684867	0.107973	0.062961
-0.678584	0.107695	0.062665
-0.672301	0.107403	0.062363
-0.666018	0.107097	0.062056
-0.659734	0.106777	0.061743
-0.653451	0.106442	0.061424
-0.647168	0.106093	0.061098
-0.640885	0.105729	0.060767
-0.634602	0.105350	0.060429
-0.628319	0.104955	0.060085
-0.622035	0.104545	0.059734
-0.615752	0.104119	0.059376
-0.609469	0.103677	0.059012
-0.603186	0.103218	0.058641
-0.596903	0.102743	0.058262
-0.590619	0.102251	0.057876
-0.584336	0.101741	0.057483
-0.578053	0.101214	0.057083
-0.571770	0.100669	0.056675
-0.565487	0.100106	0.056259
-0.559203	0.099525	0.055835
-0.552920	0.098925	0.055403
-0.546637	0.098306	0.054963
-0.540354	0.097668	0.054515
-0.534071	0.097010	0.054059
-0.527788	0.096333	0.053594
-0.521504	0.095635	0.053120
-0.515221	0.094918	0.052637
-0.508938	0.094180	0.052146
-0.502655	0.093421	0.051645
-0.496372	0.092640	0.051135
-0.490088	0.091839	0.050616
-0.483805	0.091016	0.050088
-0.477522	0.090171	0.049550
-0.471239	0.089304	0.049002
-0.464956	0.088415	0.048444
-0.458673	0.087504	0.047877
-0.452389	0.086569	0.047300
-0.446106	0.085612	0.046713
-0.439823	0.084632	0.046115
-0.433540	0.083629	0.045508
-0.427257	0.082602	0.044890
-0.420973	0.081552	0.044262
-0.414690	0.080478	0.043624
-0.408407	0.079381	0.042975
-0.402124	0.078261	0.042316
-0.395841	0.077117	0.041646
-0.389557	0.075949	0.040967
-0.383274	0.074757	0.040277
-0.376991	0.073543	0.039576
-0.370708	0.072305	0.038866
-0.364425	0.071043	0.038145
-0.358142	0.069759	0.037414
-0.351858	0.068453	0.036674
-0.345575	0.067124	0.035924
-0.339292	0.065773	0.035164
-0.333009	0.064400	0.034395
-0.326726	0.063007	0.033617
-0.320442	0.061593	0.032830
-0.314159	0.060159	0.032035
-0.307876	0.058706	0.031232
-0.301593	0.057234	0.030421
-0.295310	0.055745	0.029602
-0.289027	0.054239	0.028777
-0.282743	0.052717	0.027946
-0.276460	0.051181	0.027108
-0.270177	0.049631	0.026266
-0.263894	0.048069	0.025418
-0.257611	0.046496	0.024567
-0.251327	0.044914	0.023713
-0.245044	0.043324	0.022856
-0.238761	0.041727	0.021998
-0.232478	0.040126	0.021138
-0.226195	0.038522	0.020279
-0.219911	0.036917	0.019422
-0.213628	0.035314	0.018566
-0.207345	0.033714	0.017713
-0.201062	0.032120	0.016865
-0.194779	0.030533	0.016023
-0.188496	0.028957	0.015187
-0.182212	0.027394	0.014359
-0.175929	0.025846	0.013540
-0.169646	0.024316	0.012732
-0.163363	0.022807	0.011936
-0.157080	0.021322	0.011153
-0.150796	0.019863	0.010385
-0.144513	0.018433	0.009634
-0.138230	0.017036	0.008900
-0.131947	0.015674	0.008185
-0.125664	0.014351	0.007491
-0.119381	0.013068	0.006819
-0.113097	0.011830	0.006170
-0.106814	0.010638	0.005547
-0.100531	0.009497	0.004950
-0.094248	0.008409	0.004382
-0.087965	0.007376	0.003842
-0.081681	0.006401	0.003334
-0.075398	0.005487	0.002857
-0.069115	0.004636	0.002414
-0.062832	0.003851	0.002005
-0.056549	0.003134	0.001631
-0.050265	0.002487	0.001294
-0.043982	0.001911	0.000994
-0.037699	0.001409	0.000733
-0.031416	0.000981	0.000510
-0.025133	0.000629	0.000327
-0.018850	0.000355	0.000184
-0.012566	0.000158	0.000082
-0.006283	0.000039	0.000021
0.000000	0.000000	0.000000
0.006283	0.000039	0.000021
0.012566	0.000158	0.000082
0.018850	0.000355	0.000184
0.025133	0.000629	0.000327
0.031416	0.000981	0.000510
0.037699	0.001409	0.000733
0.043982	0.001911	0.000994
0.050265	0.002487	0.001294
0.056549	0.003134	0.001631
0.062832	0.003851	0.002005
0.069115	0.004636	0.002414
0.075398	0.005487	0.002857
0.081681	0.006401	0.003334
0.087965	0.007376	0.003842
0.094248	0.008409	0.004382
0.100531	0.009497	0.004950
0.106814	0.010638	0.005547
0.113097	0.011830	0.006170
0.119381	0.013068	0.006819
0.125664	0.014351	0.007491
0.131947	0.015674	0.008185
0.138230	0.017036	0.008900
0.144513	0.018433	0.009634
0.150796	0.019863	0.010385
0.157080	0.021322	0.011153
0.163363	0.022807	0.011936
0.169646	0.024316	0.012732
0.175929	0.025846	0.013540
0.182212	0.027394	0.014359
0.188496	0.028957	0.015187
0.194779	0.030533	0.016023
0.201062	0.032120	0.016865
0.207345	0.033714	0.017713
0.213628	0.035314	0.018566
0.219911	0.036917	0.019422
0.226195	0.038522	0.020279
0.232478	0.040126	0.021138
0.238761	0.041727	0.021998
0.245044	0.043324	0.022856
0.251327	0.044914	0.023713
0.257611	0.046496	0.024567
0.263894	0.048069	0.025418
0.270177	0.049631	0.026266
0.276460	0.051181	0.027108
0.282743	0.052717	0.027946
0.289027	0.054239	0.028777
0.295310	0.055745	0.029602
0.301593	0.057234	0.030421
0.307876	0.058706	0.031232
0.314159	0.060159	0.032035
0.320442	0.061593	0.032830
0.326726	0.063007	0.033617
0.333009	0.064400	0.034395
0.339292	0.065773	0.035164
0.345575	0.067124	0.035924
0.351858	0.068453	0.036674
0.358142	0.069759	0.037414
0.364425	0.071043	0.038145
0.370708	0.072305	0.038866
0.376991	0.073543	0.039576
0.383274	0.074757	0.040277
0.389557	0.075949	0.040967
0.395841	0.077117	0.041646
0.402124	0.078261	0.042316
0.408407	0.079381	0.042975
0.414690	0.080478	0.043624
0.420973	0.081552	0.044262
0.427257	0.082602	0.044890
0.433540	0.083629	0.045508
0.439823	0.084632	0.046115
0.446106	0.085612	0.046713
0.452389	0.086569	0.047300
0.458673	0.087504	0.047877
0.464956	0.088415	0.048444
0.471239	0.089304	0.049002
0.477522	0.090171	0.049550
0.483805	0.091016	0.050088
0.490088	0.091839	0.050616
0.496372	0.092640	0.051135
0.502655	0.093421	0.051645
0.508938	0.094180	0.052146
0.515221	0.094918	0.052637
0.521504	0.095635	0.053120
0.527788	0.096333	0.053594
0.534071	0.097010	0.054059
0.540354	0.097668	0.054515
0.546637	0.098306	0.054963
0.552920	0.098925	0.055403
0.559203	0.099525	0.055835
0.565487	0.100106	0.056259
0.571770	0.100669	0.056675
0.578053	0.101214	0.057083
0.584336	0.101741	0.057483
0.590619	0.102251	0.057876
0.596903	0.102743	0.058262
0.603186	0.103218	0.058641
0.609469	0.103677	0.059012
0.615752	0.104119	0.059376
0.622035	0.104545	0.059734
0.628319	0.104955	0.060085
0.634602	0.105350	0.060429
0.640885	0.105729	0.060767
0.647168	0.106093	0.061098
0.653451	0.106442	0.061424
0.659734	0.106777	0.061743
0.666018	0.107097	0.062056
0.672301	0.107403	0.062363
0.678584	0.107695	0.062665
0.684867	0.107973	0.062961
0.691150	0.108238	0.063251
0.697434	0.108490	0.063536
0.703717	0.108729	0.063816
0.710000	0.108955	0.064090
0.716283	0.109169	0.064359
0.722566	0.109370	0.064624
0.728849	0.109559	0.064883
0.735133	0.109736	0.065137
0.741416	0.109902	0.065387
0.747699	0.110056	0.065632
0.753982	0.110198	0.065873
0.760265	0.110330	0.066109
0.766549	0.110451	0.066341
0.772832	0.110560	0.066568
0.779115	0.110660	0.066791
0.785398	0.110749	0.067010
0.791681	0.110828	0.067225
0.797965	0.110896	0.067436
0.804248	0.110955	0.067644
0.810531	0.111005	0.067847
0.816814	0.111044	0.068046
0.823097	0.111075	0.068242
0.829380	0.111096	0.068435
0.835664	0.111108	0.068623
0.841947	0.111111	0.068809
0.848230	0.111105	0.068991
0.854513	0.111091	0.069169
0.860796	0.111069	0.069345
0.867080	0.111038	0.069517
0.873363	0.110999	0.069686
0.879646	0.110951	0.069851
0.885929	0.110896	0.070014
0.892212	0.110833	0.070174
0.898495	0.110763	0.070331
0.904779	0.110685	0.070485
0.911062	0.110599	0.070636
0.917345	0.110506	0.070784
0.923628	0.110406	0.070930
0.929911	0.110299	0.071073
0.936195	0.110185	0.071214
0.942478	0.110065	0.071351
0.948761	0.109937	0.071487
0.955044	0.109803	0.071620
0.961327	0.109663	0.071750
0.967611	0.109516	0.071878
0.973894	0.109362	0.072004
0.980177	0.109203	0.072127
0.986460	0.109038	0.072248
0.992743	0.108866	0.072367
0.999026	0.108689	0.072483
1.005310	0.108505	0.072598
1.011593	0.108317	0.072710
1.017876	0.108122	0.072820
1.024159	0.107922	0.072929
1.030442	0.107717	0.073035
1.036726	0.107506	0.073139
1.043009	0.107290	0.073241
1.049292	0.107069	0.073341
1.055575	0.106842	0.073440
1.061858	0.106611	0.073536
1.068142	0.106375	0.073631
1.074425	0.106133	0.073724
1.080708	0.105888	0.073815
1.086991	0.105637	0.073905
1.093274	0.105382	0.073992
1.099557	0.105122	0.074078
1.105841	0.104858	0.074162
1.112124	0.104589	0.074245
1.118407	0.104316	0.074326
1.124690	0.104039	0.074405
1.130973	0.103757	0.074483
1.137257	0.103472	0.074560
1.143540	0.103182	0.074634
1.149823	0.102888	0.074708
1.156106	0.102591	0.074779
1.162389	0.102289	0.074850
1.168672	0.101984	0.074918
1.174956	0.101675	0.074986
1.181239	0.101362	0.075052
1.187522	0.101046	0.075116
1.193805	0.100726	0.075180
1.200088	0.100403	0.075242
1.206372	0.100076	0.075302
1.212655	0.099746	0.075361
1.218938	0.099413	0.075419
1.225221	0.099076	0.075476
1.231504	0.098736	0.075531
1.237788	0.098393	0.075585
1.244071	0.098046	0.075638
1.250354	0.097697	0.075690
1.256637	0.097345	0.075740
1.262920	0.096990	0.075789
1.269203	0.096631	0.075837
1.275487	0.096270	0.075884
1.281770	0.095907	0.075930
1.288053	0.095540	0.075974
1.294336	0.095171	0.076018
1.300619	0.094799	0.076060
1.306903	0.094425	0.076101
1.313186	0.094048	0.076141
1.319469	0.093668	0.076180
1.325752	0.093286	0.076218
1.332035	0.092902	0.076255
1.338318	0.092515	0.076290
1.344602	0.092126	0.076325
1.350885	0.091735	0.076359
1.357168	0.091341	0.076391
1.363451	0.090945	0.076423
1.369734	0.090547	0.076453
1.376018	0.090147	0.076483
1.382301	0.089745	0.076511
1.388584	0.089341	0.076539
1.394867	0.088935	0.076565
1.401150	0.088527	0.076591
1.407434	0.088117	0.076615
1.413717	0.087705	0.076639
1.420000	0.087292	0.076661
1.426283	0.086877	0.076683
1.432566	0.086459	0.076703
1.438849	0.086041	0.076723
1.445133	0.085620	0.076742
1.451416	0.085198	0.076760
1.457699	0.084775	0.076777
1.463982	0.084350	0.076792
1.470265	0.083923	0.076807
1.476549	0.083495	0.076822
1.482832	0.083065	0.076835
1.489115	0.082635	0.076847
1.495398	0.082202	0.076858
1.501681	0.081769	0.076869
1.507964	0.081334	0.076878
1.514248	0.080898	0.076887
1.520531	0.080461	0.076894
1.526814	0.080022	0.076901
1.533097	0.079583	0.076907
1.539380	0.079142	0.076912
1.545664	0.078700	0.076916
1.551947	0.078257	0.076919
1.558230	0.077814	0.076921
1.564513	0.077369	0.076923
1.570796	0.076923	0.076923
1.577080	0.076476	0.076923
1.583363	0.076029	0.076921
1.589646	0.075581	0.076919
1.595929	0.075132	0.076916
1.602212	0.074682	0.076912
1.608495	0.074231	0.076907
1.614779	0.073780	0.076901
1.621062	0.073328	0.076894
1.627345	0.072875	0.076887
1.633628	0.072422	0.076878
1.639911	0.071968	0.076869
1.646195	0.071514	0.076858
1.652478	0.071059	0.076847
1.658761	0.070604	0.076835
1.665044	0.070148	0.076822
1.671327	0.069692	0.076807
1.677610	0.069235	0.076792
1.683894	0.068778	0.076777
1.690177	0.068321	0.076760
1.696460	0.067863	0.076742
1.702743	0.067406	0.076723
1.709026	0.066947	0.076703
1.715310	0.066489	0.076683
1.721593	0.066031	0.076661
1.727876	0.065572	0.076639
1.734159	0.065113	0.076615
1.740442	0.064654	0.076591
1.746726	0.064195	0.076565
1.753009	0.063736	0.076539
1.759292	0.063277	0.076511
1.765575	0.062818	0.076483
1.771858	0.062359	0.076453
1.778141	0.061900	0.076423
1.784425	0.061442	0.076391
1.790708	0.060983	0.076359
1.796991	0.060524	0.076325
1.803274	0.060066	0.076290
1.809557	0.059608	0.076255
1.815841	0.059150	0.076218
1.822124	0.058692	0.076180
1.828407	0.058235	0.076141
1.834690	0.057778	0.076101
1.840973	0.057321	0.076060
1.847256	0.056865	0.076018
1.853540	0.056409	0.075974
1.859823	0.055953	0.075930
1.866106	0.055498	0.075884
1.872389	0.055043	0.075837
1.878672	0.054589	0.075789
