# function=Пилообразная f(x)=x N=20 FFT_points=512
x,f_x,fourier_sum,ifft_restored,error_fourier,error_ifft
-1.69356398,-0.53907816,-0.54345106,-0.53997839,0.00437290,0.00090024
-1.68097242,-0.53507014,-0.53343340,-0.53597821,0.00163674,0.00090807
-1.66838087,-0.53106212,-0.52360736,-0.53197802,0.00745477,0.00091589
-1.65578931,-0.52705411,-0.51435288,-0.52797783,0.01270123,0.00092372
-1.64319776,-0.52304609,-0.50600719,-0.52397764,0.01703890,0.00093155
-1.63060621,-0.51903808,-0.49884331,-0.51997745,0.02019477,0.00093938
-1.61801465,-0.51503006,-0.49305303,-0.51597727,0.02197703,0.00094721
-1.60542310,-0.51102204,-0.48873547,-0.51197708,0.02228657,0.00095504
-1.59283155,-0.50701403,-0.48589181,-0.50797689,0.02112221,0.00096286
-1.58023999,-0.50300601,-0.48442647,-0.50397670,0.01857954,0.00097069
-1.56764844,-0.49899800,-0.48415461,-0.49997652,0.01484338,0.00097852
-1.55505688,-0.49498998,-0.48481539,-0.49597633,0.01017459,0.00098635
-1.54246533,-0.49098196,-0.48608998,-0.49197614,0.00489198,0.00099418
-1.52987378,-0.48697395,-0.48762318,-0.48797595,0.00064923,0.00100200
-1.51728222,-0.48296593,-0.48904712,-0.48397576,0.00608119,0.00100983
-1.50469067,-0.47895792,-0.49000554,-0.47997558,0.01104762,0.00101766
-1.49209912,-0.47494990,-0.49017697,-0.47597539,0.01522707,0.00102549
-1.47950756,-0.47094188,-0.48929542,-0.47197520,0.01835354,0.00103332
-1.46691601,-0.46693387,-0.48716713,-0.46797501,0.02023327,0.00104114
-1.45432445,-0.46292585,-0.48368250,-0.46397482,0.02075665,0.00104897
-1.44173290,-0.45891784,-0.47882226,-0.45997464,0.01990442,0.00105680
-1.42914135,-0.45490982,-0.47265776,-0.45597445,0.01774794,0.00106463
-1.41654979,-0.45090180,-0.46534530,-0.45197426,0.01444350,0.00107246
-1.40395824,-0.44689379,-0.45711492,-0.44797407,0.01022113,0.00108029
-1.39136669,-0.44288577,-0.44825452,-0.44397389,0.00536875,0.00108811
-1.37877513,-0.43887776,-0.43909039,-0.43997370,0.00021263,0.00109594
-1.36618358,-0.43486974,-0.42996536,-0.43597351,0.00490438,0.00110377
-1.35359203,-0.43086172,-0.42121615,-0.43197332,0.00964557,0.00111160
-1.34100047,-0.42685371,-0.41315134,-0.42797313,0.01370237,0.00111943
-1.32840892,-0.42284569,-0.40603140,-0.42397295,0.01681429,0.00112725
-1.31581736,-0.41883768,-0.40005205,-0.41997276,0.01878562,0.00113508
-1.30322581,-0.41482966,-0.39533210,-0.41597257,0.01949756,0.00114291
-1.29063426,-0.41082164,-0.39190635,-0.41197238,0.01891530,0.00115074
-1.27804270,-0.40681363,-0.38972412,-0.40797219,0.01708951,0.00115857
-1.26545115,-0.40280561,-0.38865342,-0.40397201,0.01415219,0.00116640
-1.25285960,-0.39879760,-0.38849036,-0.39997182,0.01030724,0.00117422
-1.24026804,-0.39478958,-0.38897318,-0.39597163,0.00581640,0.00118205
-1.22767649,-0.39078156,-0.38980000,-0.39197144,0.00098156,0.00118988
-1.21508493,-0.38677355,-0.39064902,-0.38797126,0.00387547,0.00119771
-1.20249338,-0.38276553,-0.39119981,-0.38397107,0.00843427,0.00120554
-1.18990183,-0.37875752,-0.39115435,-0.37997088,0.01239684,0.00121336
-1.17731027,-0.37474950,-0.39025646,-0.37597069,0.01550696,0.00122119
-1.16471872,-0.37074148,-0.38830822,-0.37197050,0.01756674,0.00122902
-1.15212717,-0.36673347,-0.38518253,-0.36797032,0.01844907,0.00123685
-1.13953561,-0.36272545,-0.38083086,-0.36397013,0.01810541,0.00124468
-1.12694406,-0.35871743,-0.37528579,-0.35996994,0.01656836,0.00125251
-1.11435250,-0.35470942,-0.36865823,-0.35596975,0.01394881,0.00126033
-1.10176095,-0.35070140,-0.36112948,-0.35196956,0.01042808,0.00126816
-1.08916940,-0.34669339,-0.35293879,-0.34796938,0.00624540,0.00127599
-1.07657784,-0.34268537,-0.34436714,-0.34396919,0.00168177,0.00128382
-1.06398629,-0.33867735,-0.33571849,-0.33996900,0.00295886,0.00129165
-1.05139474,-0.33466934,-0.32729958,-0.33596881,0.00736975,0.00129947
-1.03880318,-0.33066132,-0.31939976,-0.33196862,0.01126156,0.00130730
-1.02621163,-0.32665331,-0.31227208,-0.32796844,0.01438123,0.00131513
-1.01362007,-0.32264529,-0.30611688,-0.32396825,0.01652841,0.00132296
-1.00102852,-0.31863727,-0.30106903,-0.31996806,0.01756824,0.00133079
-0.98843697,-0.31462926,-0.29718951,-0.31596787,0.01743975,0.00133861
-0.97584541,-0.31062124,-0.29446187,-0.31196769,0.01615937,0.00134644
-0.96325386,-0.30661323,-0.29279388,-0.30796750,0.01381934,0.00135427
